"TID","RID","t_transitE","r_transitE","t_transitM","r_transitM","t_transitCV","r_transitCV"
"g37109070901",20,0.0,0.0,0.010268562401263823,0.006242708424736922,"inf","inf"
"g37109070202",20,0.0,0.0,0.007742703990470518,0.006242708424736922,"inf","inf"
"g45023020300",21,0.0,0.0,0.009826152683295541,0.0075719836535627005,"inf","inf"
"g45023020400",21,0.0,0.0,0.011764705882352941,0.0075719836535627005,"inf","inf"
"g37071031800",22,0.017106200997861726,0.005523590333716916,0.026934130692258394,0.009700776902737438,0.9571576839219484,1.067626029442608
"g37071030802",22,0.0,0.005523590333716916,0.007931665649786455,0.009700776902737438,"inf",1.067626029442608
"g37071031500",22,0.0,0.005523590333716916,0.009976976208749041,0.009700776902737438,"inf",1.067626029442608
"g37119005711",23,0.016910069177555727,0.016910069177555727,0.02376070670972016,0.02376070670972016,0.8541773813027336,0.8541773813027336
"g37119002300",24,0.2996389891696751,0.13947267863966373,0.11560158952963846,0.02639275598634613,0.23453063536609556,0.11503492095810106
"g37119001300",24,0.12071240105540897,0.13947267863966373,0.058158844810220295,0.02639275598634613,0.29288557387776826,0.11503492095810106
"g37119000900",24,0.07735583684950774,0.13947267863966373,0.05829521259983495,0.02639275598634613,0.45811435378262116,0.11503492095810106
"g37119004900",24,0.17454545454545456,0.13947267863966373,0.11033394768743768,0.02639275598634613,0.38426843482833534,0.11503492095810106
"g37119000800",24,0.14577656675749318,0.13947267863966373,0.06767283562960104,0.02639275598634613,0.2822024336114943,0.11503492095810106
"g37119000700",24,0.11724137931034483,0.13947267863966373,0.12708260715984945,0.02639275598634613,0.658930021032654,0.11503492095810106
"g37119001701",24,0.1280887544125063,0.13947267863966373,0.04639022245931833,0.02639275598634613,0.2201656442496428,0.11503492095810106
"g37119001801",24,0.12,0.13947267863966373,0.10544617485108375,0.02639275598634613,0.5341751512212957,0.11503492095810106
"g37119005200",24,0.2787794729542302,0.13947267863966373,0.11865378965390369,0.02639275598634613,0.25873484353449944,0.11503492095810106
"g37119001200",24,0.10983440351470092,0.13947267863966373,0.06314265930343728,0.02639275598634613,0.34947697709398345,0.11503492095810106
"g45057010600",25,0.0,0.0,0.008763388510223954,0.00620118005425474,"inf","inf"
"g45057010500",25,0.0,0.0,0.008776206728425159,0.00620118005425474,"inf","inf"
"g37119005909",26,0.0138357374153665,0.0126496879743633,0.015238798273383137,0.011767003521269604,0.6695492172887862,0.5654838004264031
"g37119005914",26,0.011058451816745656,0.0126496879743633,0.01848083351107853,0.011767003521269604,1.0159242390371437,0.5654838004264031
"g37119005709",27,0.012035010940919038,0.011045203518101862,0.013616376445887358,0.00909937138872942,0.687779390524512,0.5008085862827664
"g37119005717",27,0.010454099967330937,0.011045203518101862,0.012046627014951357,0.00909937138872942,0.700507699330663,0.5008085862827664
"g37119000500",28,0.0473568281938326,0.0455836602191262,0.03319218044134484,0.01725232618377813,0.42607619764955273,0.23007665973983155
"g37119000400",28,0.10310077519379846,0.0455836602191262,0.051953293830777715,0.01725232618377813,0.3063269833018865,0.23007665973983155
"g37119000100",28,0.014503532911863145,0.0455836602191262,0.017375785932610913,0.01725232618377813,0.728290676841879,0.23007665973983155
"g37119002600",28,0.058315334773218146,0.0455836602191262,0.06948506312913319,0.01725232618377813,0.7243405207427371,0.23007665973983155
"g37119000300",28,0.039647577092511016,0.0455836602191262,0.06908574007266559,0.01725232618377813,1.0592680173248963,0.23007665973983155
"g37097061501",29,0.0,0.0,0.00787878787878788,0.005248294693362899,"inf","inf"
"g37097061303",29,0.0,0.0,0.007015650296815974,0.005248294693362899,"inf","inf"
