"TID","RID","t_drvloneE","r_drvloneE","t_drvloneM","r_drvloneM","t_drvloneCV","r_drvloneCV"
"g37119004500",51,0.7196531791907514,0.6465052743416559,0.16839089929387774,0.03445488411325152,0.1422425291578025,0.032397598499496756
"g37119003600",51,0.6384297520661157,0.6465052743416559,0.11986739737421996,0.03445488411325152,0.11413584428467644,0.032397598499496756
"g37119005000",51,0.6587473002159827,0.6465052743416559,0.17191521122632988,0.03445488411325152,0.15864615635615273,0.032397598499496756
"g37119004700",51,0.3743218806509946,0.6465052743416559,0.11236621438307991,0.03445488411325152,0.18248393331818918,0.032397598499496756
"g37119004302",51,0.6900343642611684,0.6465052743416559,0.07392621738523805,0.03445488411325152,0.0651271184535544,0.032397598499496756
"g37119005832",52,0.7724094087730451,0.7804179788147724,0.03131679335103136,0.03623024809780575,0.02464698659920814,0.02822137306755291
"g37119005833",52,0.7869791666666667,0.7804179788147724,0.06106100214484728,0.03623024809780575,0.04716662373319337,0.02822137306755291
"g37071032704",53,0.8697822141560798,0.8475766799344416,0.03638719331768771,0.030978214828975628,0.025431509172349688,0.022218333730970277
"g37071032703",53,0.764797507788162,0.8475766799344416,0.11421554643607051,0.030978214828975628,0.09078474029424136,0.022218333730970277
"g37071032600",53,0.8505263157894737,0.8475766799344416,0.05765799703709789,0.030978214828975628,0.041210311162872035,0.022218333730970277
"g37025041702",54,0.79644128113879,0.8440718562874252,0.09261091394900411,0.04962111431806047,0.07068748100553891,0.03573725496342965
"g37025040600",54,0.868231046931408,0.8440718562874252,0.058237692442841375,0.04962111431806047,0.0407758426446096,0.03573725496342965
"g45091061201",55,0.8117330140676444,0.8179800221975583,0.06190471557145372,0.038042718203196296,0.04636012739153842,0.02827241721847782
"g45091060901",55,0.8240035826242723,0.8179800221975583,0.07022836795116036,0.038042718203196296,0.05181047496859424,0.02827241721847782
"g45091060102",55,0.8225214198286414,0.8179800221975583,0.052911765191073074,0.038042718203196296,0.03910561600910651,0.02827241721847782
"g37179020602",56,0.7316491897044805,0.7846695557963164,0.058386144145137264,0.04012194426566093,0.04851108597427719,0.031083453531495248
"g37179020702",56,0.8544542032622334,0.7846695557963164,0.06186808670425488,0.04012194426566093,0.044016143882178574,0.031083453531495248
"g37159051002",57,0.8563194730341704,0.8563194730341704,0.030431931619774987,0.030431931619774987,0.02160368304431653,0.02160368304431653
"g37025041100",58,0.9021101992966002,0.878872583275099,0.05751979658897865,0.052148558715846324,0.03876072094372953,0.036070361167554826
"g37025040900",58,0.7888762769580022,0.878872583275099,0.1114847322467862,0.052148558715846324,0.08590938235281857,0.036070361167554826
"g37097060902",59,0.7697885196374622,0.8019584332533973,0.09294867860061112,0.049693743423750915,0.07340166103649393,0.0376689879612308
"g37097060802",59,0.858085808580858,0.8019584332533973,0.07292660291282405,0.049693743423750915,0.05166415871542129,0.0376689879612308
