"TID","RID","t_avghmvalE","r_avghmvalE","t_avghmvalM","r_avghmvalM","t_avghmvalCV","r_avghmvalCV"
"g37179020203",11,284218.40215439856,213622.03894332136,48143.37170154116,9102.921853819611,0.10297182425457897,0.02590412077292777
"g37179020204",66,230207.26577437858,183747.37978327126,48073.252629538736,9182.186732882843,0.12694587063779436,0.03037799200155787
"g37109071101",35,207371.73913043478,389924.5338799322,47987.99088337674,18053.556012007288,0.14067505560048854,0.028145974753427658
"g37159051801",85,160528.51063829788,166966.8234661649,47765.39092681977,9755.682237854939,0.18088196105576704,0.03551906777977631
"g37119001100",2,275543.0894308943,287578.95870736084,47724.68938726224,38628.31840345732,0.105290135536694,0.08165500192776301
"g37179021015",22,241058.74125874127,220101.10255773528,47642.93849314867,14556.601997542422,0.12014612077114101,0.04020424283188959
"g37119003103",38,214260.4501607717,335366.18217054266,47632.184916636725,45747.0236916144,0.1351426989437675,0.08292350965734585
"g37119006104",8,171607.47035573123,162024.65897166842,47336.146258882116,12084.014077370293,0.16768368382857532,0.04533819272220389
"g37119005827",83,99621.7277486911,111683.24468085106,46845.7175179665,0.0,0.2858577187136289,0.0
"g37179020902",22,218596.4902186421,220101.10255773528,46800.88976146019,14556.601997542422,0.1301502548567245,0.04020424283188959
"g37071032100",26,108198.04469273743,93151.86408683342,46632.644723793215,15418.589779340398,0.26200207568078193,0.10062066924003651
"g45091061005",7,247445.15212981743,248748.89682585403,46592.77773039207,15519.489053538315,0.1144652736008844,0.03792716257463497
"g37097060300",76,122213.31923890063,179133.94991820812,46456.26035849757,18895.242386946946,0.2310786412790307,0.06412223669149617
"g37071032703",55,147725.53191489363,168146.43246187363,46431.38433227716,26495.049376315183,0.1910689722058165,0.09578801499920331
"g45057011201",7,234150.8597285068,248748.89682585403,46427.2218956259,15519.489053538315,0.12053440772172964,0.03792716257463497
"g37119005824",83,124678.26086956522,111683.24468085106,46330.59851351854,0.0,0.22589742093107873,0.0
"g45091060906",27,249653.71179039302,278176.98995783157,46311.275644894515,20217.465259313994,0.11276720442093147,0.04418141284487982
"g37119006210",29,276250.27829313546,388539.1617933723,46046.481754415654,31838.577460487486,0.10132761637194282,0.04981417637621774
"g37071033306",23,187468.8796680498,196028.6370949207,45524.175262928424,14107.15378624665,0.14762061162127244,0.04374757435825556
"g37071030801",5,116822.58064516129,137662.12035731078,45518.19197833711,10213.531450121045,0.23686031646166708,0.045101976434511165
"g37179020401",4,227401.87424425635,169713.50233728875,45507.16033666645,18489.834086142364,0.12165215149729978,0.06622938402815329
"g37071031102",18,122680.48780487805,138098.33863556027,45487.97506931062,15490.440540966794,0.22540067271174127,0.06818822929339884
"g37071031101",18,169532.38993710693,138098.33863556027,45321.09886334802,15490.440540966794,0.1625106564470657,0.06818822929339884
"g37097060601",1,154400.49019607843,151148.18210559594,45120.783987819406,28071.575965669366,0.1776487107137964,0.11290104573770997
"g37119005825",47,162329.20792079208,242718.93905191874,44902.08186506058,40503.59365110722,0.16815272339363688,0.10144344515013506
"g45091060102",68,207817.76,137316.5536723164,44816.44603226326,22327.22032064135,0.1310958223262221,0.098842986860925
"g37119005831",15,212578.320802005,280568.74039938557,44754.999597041104,51420.06923479028,0.12798429577619827,0.11141084607692399
"g37119005605",53,141927.7372262774,151493.9259855189,44745.83757967858,23716.05259177891,0.1916546941514772,0.09516588307745168
"g45091061004",7,283168.9075630252,248748.89682585403,44578.00988584977,15519.489053538315,0.09569939859834471,0.03792716257463497
"g37119005514",13,212646.35958395246,187488.57664233577,44313.080039415516,28980.252718739226,0.1266800082063817,0.09396399087618125
"g37179020317",22,219287.28211749517,220101.10255773528,44074.5121883457,14556.601997542422,0.12218226369148896,0.04020424283188959
"g37071030802",61,132731.70731707316,154219.56724782067,43785.85068779214,28890.075886608833,0.20053639744456075,0.11387890963181535
"g37119003006",84,323147.1188913202,346946.8023255814,43690.96641944118,25393.323784532004,0.0821912263889682,0.04449290464752696
"g37119006302",67,279672.55717255716,215223.0994779375,43682.562266372624,12771.055738183471,0.09494942716783848,0.036072149030900426
"g37119005833",63,307384.1997264022,340390.66147859924,43576.28781250961,28846.352272362485,0.08617926552650917,0.051516620289143
"g37119003017",63,334253.67965367966,340390.66147859924,43440.68065718149,28846.352272362485,0.07900498996316327,0.051516620289143
"g45091061404",27,265184.13001912046,278176.98995783157,43400.23302520645,20217.465259313994,0.0994898162954262,0.04418141284487982
"g37025041501",11,286460.3422053232,213622.03894332136,43015.5084513847,9102.921853819611,0.09128399784029338,0.02590412077292777
"g37119005200",90,88184.97409326425,89333.89232127096,42933.21927894829,0.0,0.2959599604640887,0.0
"g37119005510",21,140201.35275754423,126329.36664475127,42923.54009990851,14043.650732462434,0.18611330727940362,0.06757869467954192
"g37071033307",23,153543.58974358975,196028.6370949207,42859.77699999692,14107.15378624665,0.169688462588367,0.04374757435825556
