"TID","RID","t_vehiclppE","r_vehiclppE","t_vehiclppM","r_vehiclppM","t_vehiclppCV","r_vehiclppCV"
"g37119000400",28,0.8224573780129336,0.7406681597611049,0.16348222297183349,0.0711281815607294,0.1208345784440422,0.05837839196474488
"g37119000100",28,0.7893142385017902,0.7406681597611049,0.14501812121405563,0.0711281815607294,0.11168797963085414,0.05837839196474488
"g37097061501",29,0.6562743569758379,0.7038941954445261,0.09445889571898151,0.07608290409092483,0.08749667040225059,0.06570732622278473
"g37097061303",29,0.7463516330785267,0.7038941954445261,0.11675382018158192,0.07608290409092483,0.09509588179365064,0.06570732622278473
"g37119005837",30,0.7728176119859349,0.7403265488704988,0.10014036340759251,0.0801942290812695,0.07877098025657735,0.065849713628657
"g37119005840",30,0.6518117451062058,0.7403265488704988,0.11920668080925695,0.0801942290812695,0.11117637554911328,0.065849713628657
"g37159051201",31,0.5234074258040482,0.5780366626691794,0.05536319187825555,0.051687050206967976,0.06430064636655049,0.05435762338823293
"g37159051204",31,0.6995305164319249,0.5780366626691794,0.1157740226658701,0.051687050206967976,0.10060939935060619,0.05435762338823293
"g37109071002",32,0.9123649459783914,0.9173794358507734,0.1783874714031528,0.1092084409192679,0.11885839360008503,0.07236712246525327
"g37071030101",32,0.921562082777036,0.9173794358507734,0.134039541429889,0.1092084409192679,0.08841835556342136,0.07236712246525327
"g37179020202",33,0.8294442738716611,0.8294442738716611,0.07610762241655827,0.07610762241655827,0.055779554240828776,0.055779554240828776
"g45057010900",34,0.7519063180827886,0.5314678726210665,0.10923401181705122,0.05213187548813693,0.08831373404248981,0.05962939878743668
"g45057010800",34,0.4223988938817836,0.5314678726210665,0.08549218996040998,0.05213187548813693,0.12303757632635029,0.05962939878743668
"g45057010700",34,0.4094838231662139,0.5314678726210665,0.07585419130639766,0.05213187548813693,0.11260999285021471,0.05962939878743668
"g37159051502",35,0.8149779735682819,0.8423359263723019,0.1121861464556055,0.09684515089406263,0.08368111474713694,0.0698918689221674
"g37159051600",35,0.8554080310880829,0.8423359263723019,0.13321701917221668,0.09684515089406263,0.09467176766535203,0.0698918689221674
"g45091061101",36,0.71953166577967,0.7469879518072289,0.09368875643066821,0.0719745109515823,0.07915378020774157,0.05857323667988363
"g45091061104",36,0.7741765480895916,0.7469879518072289,0.10927709826684201,0.0719745109515823,0.0858071032178012,0.05857323667988363
"g37179020316",37,0.7245743212149103,0.33852934852719846,0.10134329771556165,0.0,0.08502491201854613,0.0
"g37179020315",37,0.0,0.33852934852719846,"",0.0,"",0.0
"g37025041000",38,0.5395475937452558,0.5826356152817843,0.07761377451522226,0.0538926563774344,0.08744664306184717,0.05622981565024525
"g37159051501",38,0.578386605783866,0.5826356152817843,0.10438497342882049,0.0538926563774344,0.10971193015955058,0.05622981565024525
"g37025040800",38,0.6642236699239956,0.5826356152817843,0.10458748559512705,0.0538926563774344,0.095719290771641,0.05622981565024525
"g37119005844",39,0.6575015893197711,0.6561311787072244,0.0658201321545869,0.05913055700272317,0.06085496832523469,0.05478420859088302
"g37179021006",39,0.6547694251421352,0.6561311787072244,0.09803135204551484,0.05913055700272317,0.09101452326733792,0.05478420859088302
"g45057010300",40,0.6444597859855022,0.6413838988689288,0.09178335582310715,0.06256801332380169,0.08657693512813054,0.059301872911547586
"g45023021000",40,0.5247035573122529,0.6413838988689288,0.10226356660596381,0.06256801332380169,0.1184789030334866,0.059301872911547586
