"TID","RID","t_avgroomsE","r_avgroomsE","t_avgroomsM","r_avgroomsM","t_avgroomsCV","r_avgroomsCV"
"g37179021007",20,10.199076745527986,9.76385336743393,1.1246214003596762,0.473004431661588,0.06703159931121504,0.02944950903290189
"g37119005846",20,9.4515625,9.76385336743393,0.5007718930865522,0.473004431661588,0.032208495018684134,0.02944950903290189
"g37179021006",20,9.552709946396664,9.76385336743393,0.5395494220932203,0.473004431661588,0.03433513332886791,0.02944950903290189
"g37119005510",21,5.523953605648008,5.725359477124183,0.43071278239316424,0.21211173566013455,0.047399289956155125,0.022521433783828173
"g37119005512",21,5.683427398665983,5.725359477124183,0.39526448764219757,0.21211173566013455,0.04227772195431334,0.022521433783828173
"g37119005404",21,5.805730937348227,5.725359477124183,0.3695228995180392,0.21211173566013455,0.03869176575594707,0.022521433783828173
"g37119005403",21,5.915611814345992,5.725359477124183,0.5142937973048324,0.21211173566013455,0.052850088220148056,0.022521433783828173
"g37179020308",22,6.765829694323144,6.817267936765302,0.5190093131617961,0.23245432666975174,0.046632445022684675,0.02072818941349786
"g45057011202",22,6.613138686131387,6.817267936765302,0.4559953285268525,0.23245432666975174,0.04191667841420506,0.02072818941349786
"g37179021005",22,6.00056338028169,6.817267936765302,0.5187316488578247,0.23245432666975174,0.05255146365083741,0.02072818941349786
"g37179021014",22,6.718172983479106,6.817267936765302,0.8445633957850914,0.23245432666975174,0.0764214318261976,0.02072818941349786
"g37179021004",22,8.01856946354883,6.817267936765302,0.8424569369650408,0.23245432666975174,0.06386823471475364,0.02072818941349786
"g37179020902",22,6.174428450465707,6.817267936765302,0.43113366977822315,0.23245432666975174,0.042447222338681645,0.02072818941349786
"g37179021015",22,6.552920763447079,6.817267936765302,0.5734766033949104,0.23245432666975174,0.05320039850464512,0.02072818941349786
"g37179021013",22,6.821736249171637,6.817267936765302,0.8720369879702983,0.23245432666975174,0.07770949376165535,0.02072818941349786
"g37179020502",22,6.364412344057781,6.817267936765302,0.6599079257663848,0.23245432666975174,0.06303171630090613,0.02072818941349786
"g37179020307",22,6.637488947833775,6.817267936765302,0.572058766637643,0.23245432666975174,0.05239271837204621,0.02072818941349786
"g37179020403",22,7.784515430427721,6.817267936765302,2.1477525829758912,0.23245432666975174,0.16772073768377435,0.02072818941349786
"g45091061104",22,6.95865451997197,6.817267936765302,0.7933460149195191,0.23245432666975174,0.06930610096145075,0.02072818941349786
"g37179020317",22,7.819436775262286,6.817267936765302,0.7786622129744293,0.23245432666975174,0.06053516422610631,0.02072818941349786
"g45091061706",23,6.286199095022624,6.290685634538334,0.6335849326622384,0.15355191666549708,0.06127041284476696,0.01483854632304194
"g45091061502",23,6.066775777414075,6.290685634538334,0.38916896193106587,0.15355191666549708,0.03899548709787307,0.01483854632304194
"g37071033307",23,6.246376811594203,6.290685634538334,1.0727830871305486,0.15355191666549708,0.10440416788836009,0.01483854632304194
"g37071033202",23,5.76536312849162,6.290685634538334,0.6632521490421902,0.15355191666549708,0.06993363415008604,0.01483854632304194
"g45091061705",23,6.318567961165049,6.290685634538334,0.6405782663539521,0.15355191666549708,0.06162935697640709,0.01483854632304194
"g37071033306",23,6.285234899328859,6.290685634538334,0.5153457596983858,0.15355191666549708,0.04984381683404352,0.01483854632304194
"g45023020700",23,6.418118466898955,6.290685634538334,0.7839545713974798,0.15355191666549708,0.0742535574821463,0.01483854632304194
"g45091061403",23,6.510806536636795,6.290685634538334,0.6416077904181587,0.15355191666549708,0.059905808713333925,0.01483854632304194
"g37071033305",23,5.829903147699758,6.290685634538334,0.513807369241753,0.15355191666549708,0.05357634550710746,0.01483854632304194
"g45091061302",23,6.112586298459904,6.290685634538334,0.42553477507600257,0.15355191666549708,0.0423198530400742,0.01483854632304194
